name,strand,chr,intersections
YJL093C,-,chrX,114
YJL092W,+,chrX,296
YJL091C,-,chrX,238
YJL090C,-,chrX,142
YJL089W,+,chrX,78
YJL088W,+,chrX,175
YJL087C,-,chrX,193
YJL085W,+,chrX,236
YJL086C,-,chrX,16
YJL084C,-,chrX,192
YJL083W,+,chrX,67
YJL082W,+,chrX,275
YJL081C,-,chrX,194
YJL080C,-,chrX,648
YJL079C,-,chrX,73
YJL078C,-,chrX,141
YJL077W-B,+,chrX,8
YJL077W-A,+,chrX,127
YJL077C,-,chrX,9
YJL076W,+,chrX,933
YJL075C,-,chrX,3
YJL074C,-,chrX,347
YJL073W,+,chrX,151
YJL072C,-,chrX,120
YJL071W,+,chrX,107
YJL070C,-,chrX,46
YJL069C,-,chrX,187
YJL068C,-,chrX,134
YJL067W,+,chrX,4
YJL066C,-,chrX,172
YJL064W,+,chrX,11
YJL065C,-,chrX,114
YJL063C,-,chrX,118
YJL062W-A,+,chrX,55
YJL062W,+,chrX,97
YJL061W,+,chrX,433
YJL060W,+,chrX,60
YJL059W,+,chrX,36
YJL058C,-,chrX,35
YJL057C,-,chrX,72
YJL056C,-,chrX,72
YJL055W,+,chrX,410
YJL054W,+,chrX,291
YJL053W,+,chrX,105
YJL052C-A,-,chrX,3
YJL052W,+,chrX,324
YJL051W,+,chrX,145
YJL050W,+,chrX,848
YJL049W,+,chrX,117
YJL048C,-,chrX,186
YJL047C-A,-,chrX,530
YJL047C,-,chrX,170
YJL046W,+,chrX,76
YJL045W,+,chrX,31
YJL044C,-,chrX,844
YJL043W,+,chrX,24
YJL042W,+,chrX,104
YJL041W,+,chrX,5
YJL041W,+,chrX,397
YJL039C,-,chrX,341
YJL038C,-,chrX,26
YJL037W,+,chrX,39
YJL036W,+,chrX,187
YJL035C,-,chrX,41
YJL034W,+,chrX,2124
YJL033W,+,chrX,596
YJL032W,+,chrX,9
YJL031C,-,chrX,190
YJL031C,-,chrX,70
YJL030W,+,chrX,1095
YJL029C,-,chrX,197
YJL028W,+,chrX,14
YJL027C,-,chrX,6
YJL026W,+,chrX,792
YJL026C-A,-,chrX,7
YJL025W,+,chrX,230
YJL024C,-,chrX,113
YJL024C,-,chrX,6
YJL022W,+,chrX,7
YJL023C,-,chrX,88
YJL020W-A,+,chrX,4
YJL020C,-,chrX,618
YJL019W,+,chrX,84
YJL016W,+,chrX,126
YJL015C,-,chrX,5
YJL014W,+,chrX,541
YJL013C,-,chrX,158
YJL012C,-,chrX,210
YJL011C,-,chrX,66
YJL010C,-,chrX,447
YJL009W,+,chrX,7
YJL008C,-,chrX,410
YJL007C,-,chrX,26
YJL006C,-,chrX,114
YJL005W,+,chrX,194
YJL004C,-,chrX,97
YJL003W,+,chrX,74
YJL002C,-,chrX,223
YJL001W,+,chrX,21
YJL001W,+,chrX,379
YJR001W,+,chrX,193
YJR002W,+,chrX,726
YJR003C,-,chrX,328
YJR004C,-,chrX,47
YJR005W,+,chrX,130
YJR005C-A,-,chrX,10
YJR006W,+,chrX,148
YJR007W,+,chrX,726
YJR008W,+,chrX,109
YJR009C,-,chrX,3315
YJR010W,+,chrX,6733
YJR010C-A,-,chrX,37
YJR011C,-,chrX,68
YJR013W,+,chrX,147
YJR012C,-,chrX,52
YJR014W,+,chrX,778
YJR015W,+,chrX,102
YJR016C,-,chrX,115
YJR018W,+,chrX,1
YJR017C,-,chrX,118
YJR020W,+,chrX,4
YJR019C,-,chrX,42
YJR021C,-,chrX,35
YJR021C,-,chrX,10
YJR022W,+,chrX,87
YJR023C,-,chrX,32
YJR024C,-,chrX,76
YJR025C,-,chrX,191
YJR026W,+,chrX,21479
YJR027W,+,chrX,21465
YJR027W,+,chrX,69876
YJR028W,+,chrX,19505
YJR029W,+,chrX,19493
YJR029W,+,chrX,61610
YJR030C,-,chrX,320
YJR031C,-,chrX,147
YJR032W,+,chrX,277
YJR033C,-,chrX,89
YJR034W,+,chrX,51
YJR035W,+,chrX,162
YJR037W,+,chrX,3
YJR036C,-,chrX,111
YJR039W,+,chrX,63
YJR038C,-,chrX,7
YJR040W,+,chrX,66
YJR041C,-,chrX,377
YJR042W,+,chrX,148
YJR043C,-,chrX,124
YJR044C,-,chrX,197
YJR045C,-,chrX,1423
YJR046W,+,chrX,373
YJR047C,-,chrX,43
YJR048W,+,chrX,1508
YJR049C,-,chrX,153
YJR050W,+,chrX,269
YJR051W,+,chrX,256
YJR052W,+,chrX,264
YJR053W,+,chrX,53
YJR054W,+,chrX,165
YJR055W,+,chrX,73
YJR056C,-,chrX,193
YJR057W,+,chrX,195
YJR058C,-,chrX,114
YJR059W,+,chrX,424
YJR060W,+,chrX,345
YJR061W,+,chrX,96
YJR062C,-,chrX,88
YJR063W,+,chrX,448
YJR064W,+,chrX,490
YJR065C,-,chrX,370
YJR066W,+,chrX,237
YJR067C,-,chrX,70
YJR068W,+,chrX,245
YJR069C,-,chrX,216
YJR071W,+,chrX,7
YJR070C,-,chrX,879
YJR072C,-,chrX,890
YJR073C,-,chrX,334
YJR074W,+,chrX,140
YJR075W,+,chrX,233
YJR076C,-,chrX,472
YJR077C,-,chrX,432
YJR078W,+,chrX,35
YJR079W,+,chrX,29
YJR079W,+,chrX,2
YJR080C,-,chrX,586
YJR082C,-,chrX,173
YJR083C,-,chrX,140
YJR084W,+,chrX,94
YJR085C,-,chrX,215
YJR086W,+,chrX,606
YJR087W,+,chrX,552
YJR088C,-,chrX,554
YJR089W,+,chrX,268
YJR090C,-,chrX,260
YJR091C,-,chrX,123
YJR092W,+,chrX,264
YJR093C,-,chrX,106
YJR094C,-,chrX,48
YJR094W-A,+,chrX,138
YJR094W-A,+,chrX,6665
YJR095W,+,chrX,28
YJR096W,+,chrX,85
YJR097W,+,chrX,49
YJR098C,-,chrX,73
YJR099W,+,chrX,69
YJR100C,-,chrX,49
YJR101W,+,chrX,193
YJR102C,-,chrX,48
YJR103W,+,chrX,136
YJR104C,-,chrX,2934
YJR105W,+,chrX,996
YJR106W,+,chrX,86
YJR107W,+,chrX,40
YJR108W,+,chrX,4
YJR109C,-,chrX,803
YJR110W,+,chrX,95
YJR111C,-,chrX,57
YJR112W,+,chrX,62
YJR112W-A,+,chrX,26
YJR112W-A,+,chrX,55
YJR114W,+,chrX,8
YJR113C,-,chrX,91
YJR115W,+,chrX,243
YJR116W,+,chrX,268
YJR117W,+,chrX,748
YJR118C,-,chrX,285
YJR119C,-,chrX,43
YJR120W,+,chrX,614
YJR121W,+,chrX,1990
YJR122W,+,chrX,124
YJR123W,+,chrX,6813
YJR124C,-,chrX,72
YJR125C,-,chrX,169
YJR126C,-,chrX,158
YJR128W,+,chrX,11
YJR127C,-,chrX,69
YJR129C,-,chrX,471
YJR130C,-,chrX,220
YJR131W,+,chrX,82
YJR132W,+,chrX,151
YJR133W,+,chrX,138
YJR134C,-,chrX,617
YJR135C,-,chrX,115
YJR135W-A,+,chrX,175
YJR136C,-,chrX,50
YJR137C,-,chrX,72
YJR138W,+,chrX,149
YJR139C,-,chrX,1744
YJR140W-A,+,chrX,6
YJR140C,-,chrX,1374
YJR141W,+,chrX,62
YJR142W,+,chrX,67
YJR143C,-,chrX,317
YJR144W,+,chrX,487
YJR145C,-,chrX,3700
YJR145C,-,chrX,98
YJR146W,+,chrX,12
YJR147W,+,chrX,74
YJR148W,+,chrX,208
YJR149W,+,chrX,62
YJR150C,-,chrX,17
YJR151C,-,chrX,34
YJR151W-A,+,chrX,5
YJR152W,+,chrX,69
YJR153W,+,chrX,10
YJR154W,+,chrX,64
YJR155W,+,chrX,48
YJR156C,-,chrX,21
YJR157W,+,chrX,15
YJR158W,+,chrX,20
YJR159W,+,chrX,132
YJR160C,-,chrX,33
YJR161C,-,chrX,184
YJR162C,-,chrX,22
YKL225W,+,chrXI,7
YKL224C,-,chrXI,17
YKL223W,+,chrXI,6
YKL222C,-,chrXI,91
YKL221W,+,chrXI,22
YKL220C,-,chrXI,19
YKL219W,+,chrXI,130
YKL218C,-,chrXI,116
YKL217W,+,chrXI,43
YKL216W,+,chrXI,3583
YKL215C,-,chrXI,52
YKL214C,-,chrXI,151
YKL213C,-,chrXI,213
YKL212W,+,chrXI,678
YKL211C,-,chrXI,188
YKL210W,+,chrXI,433
YKL209C,-,chrXI,648
YKL208W,+,chrXI,88
YKL207W,+,chrXI,210
YKL206C,-,chrXI,137
YKL205W,+,chrXI,328
YKL204W,+,chrXI,550
YKL203C,-,chrXI,234
YKL202W,+,chrXI,5
YKL201C,-,chrXI,542
YKL198C,-,chrXI,76
YKL197C,-,chrXI,142
YKL196C,-,chrXI,324
YKL195W,+,chrXI,909
YKL194C,-,chrXI,55
YKL193C,-,chrXI,252
YKL192C,-,chrXI,465
YKL191W,+,chrXI,243
YKL190W,+,chrXI,49
YKL190W,+,chrXI,224
YKL189W,+,chrXI,78
YKL188C,-,chrXI,115
YKL187C,-,chrXI,24
YKL186C,-,chrXI,284
YKL185W,+,chrXI,291
YKL184W,+,chrXI,159
YKL183C-A,-,chrXI,6
YKL183W,+,chrXI,181
YKL182W,+,chrXI,2173
YKL181W,+,chrXI,681
YKL180W,+,chrXI,831
YKL180W,+,chrXI,3751
YKL179C,-,chrXI,387
YKL177W,+,chrXI,10
YKL178C,-,chrXI,23
YKL176C,-,chrXI,144
YKL175W,+,chrXI,323
YKL174C,-,chrXI,135
YKL173W,+,chrXI,726
YKL172W,+,chrXI,3630
YKL171W,+,chrXI,90
YKL170W,+,chrXI,148
YKL169C,-,chrXI,13
YKL168C,-,chrXI,89
YKL167C,-,chrXI,175
YKL166C,-,chrXI,234
YKL165C-A,-,chrXI,38
YKL165C,-,chrXI,156
YKL164C,-,chrXI,356
YKL163W,+,chrXI,110
YKL162C-A,-,chrXI,3
YKL162C,-,chrXI,31
YKL161C,-,chrXI,148
YKL160W,+,chrXI,612
YKL159C,-,chrXI,47
YKL157W,+,chrXI,43
YKL157W,+,chrXI,166
YKL156W,+,chrXI,164
YKL156W,+,chrXI,1097
YKL156C-A,-,chrXI,6
YKL155C,-,chrXI,220
YKL154W,+,chrXI,396
YKL153W,+,chrXI,8
YKL152C,-,chrXI,2679
YKL151C,-,chrXI,40
YKL150W,+,chrXI,110
YKL149C,-,chrXI,57
YKL148C,-,chrXI,202
YKL146W,+,chrXI,304
YKL147C,-,chrXI,108
YKL145W,+,chrXI,436
YKL145W-A,+,chrXI,4
YKL144C,-,chrXI,120
YKL143W,+,chrXI,790
YKL142W,+,chrXI,417
YKL141W,+,chrXI,470
YKL140W,+,chrXI,191
YKL139W,+,chrXI,102
YKL138C-A,-,chrXI,39
YKL138C,-,chrXI,146
YKL137W,+,chrXI,260
YKL136W,+,chrXI,217
YKL135C,-,chrXI,169
YKL134C,-,chrXI,158
YKL133C,-,chrXI,33
YKL131W,+,chrXI,10
YKL132C,-,chrXI,43
YKL130C,-,chrXI,136
YKL129C,-,chrXI,338
YKL128C,-,chrXI,93
YKL127W,+,chrXI,143
YKL126W,+,chrXI,317
YKL125W,+,chrXI,136
YKL124W,+,chrXI,89
YKL123W,+,chrXI,56
YKL122C,-,chrXI,1318
YKL121W,+,chrXI,94
YKL120W,+,chrXI,89
YKL118W,+,chrXI,15
YKL119C,-,chrXI,308
YKL117W,+,chrXI,1108
YKL116C,-,chrXI,113
YKL115C,-,chrXI,275
YKL114C,-,chrXI,520
YKL113C,-,chrXI,425
YKL112W,+,chrXI,154
YKL111C,-,chrXI,85
YKL110C,-,chrXI,268
YKL109W,+,chrXI,2743
YKL108W,+,chrXI,118
YKL107W,+,chrXI,18
YKL106C-A,-,chrXI,9
YKL106W,+,chrXI,141
YKL105C,-,chrXI,266
YKL104C,-,chrXI,585
YKL103C,-,chrXI,350
YKL102C,-,chrXI,25
YKL101W,+,chrXI,794
YKL100W-A,+,chrXI,2
YKL100C,-,chrXI,344
YKL099C,-,chrXI,434
YKL098W,+,chrXI,51
YKL097C,-,chrXI,2
YKL096C-B,-,chrXI,14
YKL096W-A,+,chrXI,2373
YKL096W,+,chrXI,735
YKL095W,+,chrXI,177
YKL094W,+,chrXI,498
YKL093W,+,chrXI,43
YKL092C,-,chrXI,234
YKL091C,-,chrXI,69
YKL090W,+,chrXI,84
YKL089W,+,chrXI,250
YKL088W,+,chrXI,356
YKL087C,-,chrXI,335
YKL086W,+,chrXI,81
YKL085W,+,chrXI,1150
YKL084W,+,chrXI,256
YKL083W,+,chrXI,11
YKL082C,-,chrXI,3060
YKL081W,+,chrXI,170
YKL081W,+,chrXI,3011
YKL080W,+,chrXI,482
YKL079W,+,chrXI,382
YKL078W,+,chrXI,100
YKL077W,+,chrXI,307
YKL076C,-,chrXI,84
YKL075C,-,chrXI,253
YKL074C,-,chrXI,243
YKL073W,+,chrXI,322
YKL072W,+,chrXI,62
YKL071W,+,chrXI,70
YKL070W,+,chrXI,16
YKL069W,+,chrXI,520
YKL068W-A,+,chrXI,69
YKL068W,+,chrXI,254
YKL067W,+,chrXI,358
YKL066W,+,chrXI,314
YKL065W-A,+,chrXI,33
YKL065C,-,chrXI,652
YKL064W,+,chrXI,708
YKL063C,-,chrXI,2001
YKL062W,+,chrXI,207
YKL061W,+,chrXI,137
YKL060C,-,chrXI,5738
YKL059C,-,chrXI,193
YKL058W,+,chrXI,78
YKL057C,-,chrXI,149
YKL056C,-,chrXI,5862
YKL055C,-,chrXI,23
YKL054C,-,chrXI,3036
YKL053C-A,-,chrXI,138
YKL053W,+,chrXI,9
YKL052C,-,chrXI,102
YKL051W,+,chrXI,292
YKL050C,-,chrXI,40
YKL049C,-,chrXI,229
YKL048C,-,chrXI,96
YKL047W,+,chrXI,153
YKL046C,-,chrXI,518
YKL045W,+,chrXI,313
YKL044W,+,chrXI,13
YKL043W,+,chrXI,325
YKL042W,+,chrXI,166
YKL041W,+,chrXI,306
YKL040C,-,chrXI,357
YKL039W,+,chrXI,256
YKL038W,+,chrXI,174
YKL037W,+,chrXI,51
YKL035W,+,chrXI,210
YKL036C,-,chrXI,17
YKL034W,+,chrXI,62
YKL033W-A,+,chrXI,303
YKL033W,+,chrXI,79
YKL032C,-,chrXI,256
YKL031W,+,chrXI,10
YKL030W,+,chrXI,4
YKL029C,-,chrXI,248
YKL028W,+,chrXI,492
YKL027W,+,chrXI,513
YKL026C,-,chrXI,21
YKL025C,-,chrXI,168
YKL024C,-,chrXI,58
YKL023C-A,-,chrXI,6
YKL023W,+,chrXI,259
YKL022C,-,chrXI,207
YKL021C,-,chrXI,605
YKL020C,-,chrXI,262
YKL019W,+,chrXI,146
YKL018C-A,-,chrXI,93
YKL018W,+,chrXI,108
YKL017C,-,chrXI,156
YKL016C,-,chrXI,702
YKL015W,+,chrXI,161
YKL014C,-,chrXI,662
YKL013C,-,chrXI,389
YKL012W,+,chrXI,293
YKL011C,-,chrXI,84
YKL010C,-,chrXI,231
YKL009W,+,chrXI,1313
YKL008C,-,chrXI,197
YKL007W,+,chrXI,166
YKL006C-A,-,chrXI,230
YKL006C-A,-,chrXI,68
YKL006W,+,chrXI,102
YKL006W,+,chrXI,9960
YKL005C,-,chrXI,185
YKL004W,+,chrXI,215
YKL003C,-,chrXI,230
YKL002W,+,chrXI,152
YKL002W,+,chrXI,171
YKL001C,-,chrXI,101
YKR001C,-,chrXI,937
YKR002W,+,chrXI,356
YKR003W,+,chrXI,92
YKR004C,-,chrXI,89
YKR004C,-,chrXI,26
YKR005C,-,chrXI,32
YKR005C,-,chrXI,3
YKR006C,-,chrXI,201
YKR007W,+,chrXI,93
YKR008W,+,chrXI,317
YKR009C,-,chrXI,84
YKR010C,-,chrXI,221
YKR011C,-,chrXI,321
YKR013W,+,chrXI,315
YKR012C,-,chrXI,14
YKR014C,-,chrXI,279
YKR015C,-,chrXI,49
YKR016W,+,chrXI,827
YKR017C,-,chrXI,52
YKR018C,-,chrXI,180
YKR019C,-,chrXI,99
YKR020W,+,chrXI,91
YKR021W,+,chrXI,99
YKR022C,-,chrXI,166
YKR023W,+,chrXI,323
YKR024C,-,chrXI,276
YKR025W,+,chrXI,251
YKR026C,-,chrXI,248
YKR027W,+,chrXI,105
YKR028W,+,chrXI,566
YKR029C,-,chrXI,351
YKR030W,+,chrXI,126
YKR031C,-,chrXI,419
YKR032W,+,chrXI,10
YKR034W,+,chrXI,275
YKR033C,-,chrXI,1
YKR035W-A,+,chrXI,686
YKR035C,-,chrXI,32
YKR036C,-,chrXI,161
YKR037C,-,chrXI,221
YKR038C,-,chrXI,132
YKR039W,+,chrXI,1677
YKR041W,+,chrXI,28
YKR040C,-,chrXI,2038
YKR042W,+,chrXI,888
YKR043C,-,chrXI,188
YKR044W,+,chrXI,174
YKR045C,-,chrXI,1354
YKR046C,-,chrXI,1690
YKR047W,+,chrXI,24
YKR048C,-,chrXI,342
YKR049C,-,chrXI,56
YKR050W,+,chrXI,62
YKR051W,+,chrXI,51
YKR052C,-,chrXI,127
YKR053C,-,chrXI,38
YKR054C,-,chrXI,315
YKR055W,+,chrXI,58
YKR056W,+,chrXI,753
YKR057W,+,chrXI,458
YKR057W,+,chrXI,4631
YKR058W,+,chrXI,45
YKR059W,+,chrXI,1650
YKR060W,+,chrXI,833
YKR061W,+,chrXI,380
YKR062W,+,chrXI,308
YKR063C,-,chrXI,229
YKR064W,+,chrXI,164
YKR065C,-,chrXI,190
YKR066C,-,chrXI,56
YKR067W,+,chrXI,367
YKR068C,-,chrXI,481
YKR069W,+,chrXI,61
YKR070W,+,chrXI,75
YKR071C,-,chrXI,1799
YKR072C,-,chrXI,1055
YKR073C,-,chrXI,35
YKR074W,+,chrXI,288
YKR075W-A,+,chrXI,7
YKR075C,-,chrXI,381
YKR076W,+,chrXI,46
YKR077W,+,chrXI,61
YKR078W,+,chrXI,137
YKR079C,-,chrXI,193
YKR080W,+,chrXI,64
YKR081C,-,chrXI,663
YKR082W,+,chrXI,180
YKR083C,-,chrXI,184
YKR084C,-,chrXI,190
YKR085C,-,chrXI,135
YKR086W,+,chrXI,132
YKR087C,-,chrXI,55
YKR088C,-,chrXI,111
YKR089C,-,chrXI,151
YKR090W,+,chrXI,164
YKR091W,+,chrXI,206
YKR092C,-,chrXI,720
YKR093W,+,chrXI,284
YKR094C,-,chrXI,6631
YKR094C,-,chrXI,33
YKR095W,+,chrXI,2161
YKR095W-A,+,chrXI,50
YKR095W-A,+,chrXI,117
YKR096W,+,chrXI,329
YKR097W,+,chrXI,108
YKR098C,-,chrXI,87
YKR099W,+,chrXI,274
YKR100C,-,chrXI,336
YKR101W,+,chrXI,35
YKR102W,+,chrXI,27
YKR103W,+,chrXI,33
YKR104W,+,chrXI,32
YKR105C,-,chrXI,12
YKR106W,+,chrXI,75
YLL067W-A,+,chrXII,11
YLL067C,-,chrXII,1317
YLL067C,-,chrXII,52
YLL066W-B,+,chrXII,102
YLL066W-A,+,chrXII,11
YLL066C,-,chrXII,1410
YLL066C,-,chrXII,52
YLL065W,+,chrXII,15
YLL064C,-,chrXII,6
YLL063C,-,chrXII,65
YLL062C,-,chrXII,40
YLL061W,+,chrXII,70
YLL060C,-,chrXII,95
YLL059C,-,chrXII,28
YLL058W,+,chrXII,20
YLL057C,-,chrXII,33
YLL056C,-,chrXII,28
YLL055W,+,chrXII,62
YLL054C,-,chrXII,88
YLL053C,-,chrXII,150
YLL052C,-,chrXII,22
YLL051C,-,chrXII,77
YLL050C,-,chrXII,373
YLL050C,-,chrXII,3
YLL049W,+,chrXII,28
YLL048C,-,chrXII,470
YLL047W,+,chrXII,7
YLL046C,-,chrXII,32
YLL044W,+,chrXII,1930
YLL045C,-,chrXII,3952
YLL043W,+,chrXII,328
YLL042C,-,chrXII,35
YLL041C,-,chrXII,135
YLL040C,-,chrXII,492
YLL039C,-,chrXII,317
YLL038C,-,chrXII,1023
YLL037W,+,chrXII,9
YLL036C,-,chrXII,1302
YLL035W,+,chrXII,165
YLL034C,-,chrXII,520
YLL033W,+,chrXII,53
YLL032C,-,chrXII,165
YLL031C,-,chrXII,187
YLL030C,-,chrXII,96
YLL029W,+,chrXII,444
YLL028W,+,chrXII,1374
YLL027W,+,chrXII,234
